,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,event_type,ratio
17,BAJAJ-AUTO,Bajaj Auto Limited,EQ,Bonus 1:1,10,08-Sep-10,10-Sep-10,-,-,bonus,1:01
4,BAJAJFINSV,Bajaj Finserv Limited,EQ,Bonus 1:1,1,13-Sep-22,14-Sep-22,-,-,bonus,1:01
0,BAJFINANCE,Bajaj Finance Limited,EQ,Bonus 4:1,1,16-Jun-25,16-Jun-25,-,-,bonus,4:01
12,BAJFINANCE,Bajaj Finance Limited,EQ, Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,1,08-Sep-16,10-Sep-16,-,-,bonus,1:01
8,BEL,Bharat Electronics Limited,EQ,Bonus 2:1,1,15-Sep-22,16-Sep-22,-,-,bonus,2:01
4,BPCL,Bharat Petroleum Corporation Limited,EQ,Bonus 1:1,10,21-Jun-24,22-Jun-24,-,-,bonus,1:01
19,BPCL,Bharat Petroleum Corporation Limited,EQ, Bonus 1:2,10,13-Jul-17,15-Jul-17,-,-,bonus,1:02
12,DIVISLAB,Divi's Laboratories Limited,EQ, Bonus 1:1,2,23-Sep-15,26-Sep-15,-,-,bonus,1:01
19,DIVISLAB,Divi's Laboratories Limited,EQ,Bonus-1:1,2,30-Jul-09,01-Aug-09,-,-,bonus,1:01
4,GAIL,GAIL (India) Limited,EQ,Bonus 1:2,10,06-Sep-22,07-Sep-22,-,-,bonus,1:02
14,GAIL,GAIL (India) Limited,EQ, Bonus 1:1,10,09-Jul-19,10-Jul-19,-,-,bonus,1:01
17,GAIL,GAIL (India) Limited,EQ, Bonus 1:3,10,27-Mar-18,29-Mar-18,-,-,bonus,1:03
0,HDFCBANK,HDFC Bank Limited,EQ,Bonus 1:1,1,26-Aug-25,27-Aug-25,-,-,bonus,1:01
3,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,Bonus 1:2,10,21-Jun-24,21-Jun-24,-,-,bonus,1:02
12,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Bonus 1:2/ Dividend - Rs 1.10 Per Share,10,11-Jul-17,12-Jul-17,-,-,bonus,1:02
15,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ, Bonus 2:1,10,14-Sep-16,15-Sep-16,-,-,bonus,2:01
7,ICICIBANK,ICICI Bank Limited,EQ, Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised),2,20-Jun-17,-,22-Jun-17,24-Jun-17,bonus,1:10
17,INFY,Infosys Limited,EQ, Bonus 1:1,5,04-Sep-18,05-Sep-18,-,-,bonus,1:01
5,IOC,Indian Oil Corporation Limited,EQ,Bonus 1:2,10,30-Jun-22,01-Jul-22,-,-,bonus,1:02
17,IOC,Indian Oil Corporation Limited,EQ, Bonus 1:1,10,15-Mar-18,17-Mar-18,-,-,bonus,1:01
15,ITC,ITC Limited,EQ, Bonus 1:2,1,01-Jul-16,04-Jul-16,-,-,bonus,1:02
14,LT,Larsen & Toubro Limited,EQ, Bonus 1:2,2,13-Jul-17,14-Jul-17,-,-,bonus,1:02
19,LT,Larsen & Toubro Limited,EQ,Bonus 1:2,2,11-Jul-13,13-Jul-13,-,-,bonus,1:02
0,NESTLEIND,Nestle India Limited,EQ,Bonus 1:1,1,08-Aug-25,08-Aug-25,-,-,bonus,1:01
19,NTPC,NTPC Limited,EQ, Bonus 1:5,10,19-Mar-19,20-Mar-19,-,-,bonus,1:05
1,RELIANCE,Reliance Industries Limited,EQ,Bonus 1:1,10,28-Oct-24,28-Oct-24,-,-,bonus,1:01
11,RELIANCE,Reliance Industries Limited,EQ, Bonus 1:1,10,07-Sep-17,09-Sep-17,-,-,bonus,1:01
19,SIEMENS,Siemens Limited,EQ,Bonus 1:1,2,29-Feb-08,03-Mar-08,-,-,bonus,1:01
19,TECHM,Tech Mahindra Limited,EQ,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share,5,19-Mar-15,20-Mar-15,-,-,bonus,1:01
16,TITAN,Titan Company Limited,EQ,Bonus 1:1 / Face Value Split From Rs.10/- To Re.1/-,1,23-Jun-11,24-Jun-11,-,-,bonus,1:01
7,UPL,UPL Limited,EQ, Bonus 1:2,2,02-Jul-19,03-Jul-19,-,-,bonus,1:02
2,WIPRO,Wipro Limited,EQ,Bonus 1:1,2,03-Dec-24,03-Dec-24,-,-,bonus,1:01
17,WIPRO,Wipro Limited,EQ, Bonus 1:3,2,06-Mar-19,07-Mar-19,-,-,bonus,1:03
15,ZEEL,Zee Entertainment Enterprises Limited,EQ,Bonus 1:1,1,11-Nov-10,12-Nov-10,-,-,bonus,1:01
